country,university,url,logo
Canada,Laurentian University,https://laurentian.ca/,Laurentian_University.png
Canada,McMaster University,https://www.mcmaster.ca/,McMaster_University.png
Canada,Nipissing University,https://www.nipissingu.ca/,Nipissing_University.png
Canada,Ontario College of Art and Design University,https://www.ocadu.ca/,Ontario_College_of_Art_and_Design_University.png
Canada,Queen's University,https://www.queensu.ca/,Queen's_University.png
Canada,Toronto Metropolitan University,https://www.ryerson.ca/,Toronto_Metropolitan_University.png
Canada,Trent University,https://www.trentu.ca/,Trent_University.png
Canada,Université de Hearst,https://uhearst.ca/,Universite_de_Hearst.png
Canada,Université de l'Ontario français,https://uontario.ca/,Universite_de_l'Ontario_français.png
Canada,Université de Sudbury,https://www.usudbury.ca/,Université_de_Sudbury.jpg
Canada,University of Guelph,https://www.uoguelph.ca/,University_of_Guelph.png
Canada,Ontario Tech University,https://ontariotechu.ca/,Ontario_Tech_University.png
Canada,University of Ottawa ,https://www.uottawa.ca/,University_of_Ottawa.png
Canada,University of Toronto,https://www.utoronto.ca/,University_of_Toronto.png
Canada,University of Waterloo,https://uwaterloo.ca/,University_of_Waterloo.png
Canada,University of Windsor,https://www.uwindsor.ca/,University_of_Windsor.png
Canada,Wilfrid Laurier University,https://www.wlu.ca/,Wilfrid_Laurier_University.png
Canada,York University,https://www.yorku.ca/,York_University.png
Canada,University of Prince Edward Island,https://www.upei.ca/,University_of_Prince_Edward_Island.png
Canada,Ecole de technologie superieure,https://www.etsmtl.ca/,Ecole_de_Technologie_Superieure.png
Canada,Ecole nationale d'administration publique,https://www.enap.ca/,Ecole_Nationale_d'Administration_Publique.png
Canada,Institut national de la recherche scientifique,https://www.inrs.ca/,Institut_national_de_la_recherche_scientifique.png
Canada,McGill University,https://www.mcgill.ca/,McGill_University.png
Canada,Universite de Montreal,https://www.umontreal.ca/,Universite_de_Montreal.png
Canada,Universite de Sherbrooke,https://www.usherbrooke.ca/,Université_de_Sherbrooke.png
Canada,Universite du Quebec en Abitibi-Temiscamingue,https://www.uqat.ca/,Universite_du_Quebec_en_Abitibi_Témiscamingue.png
Canada,Universite du Quebec en Outaouais,https://www.uqo.ca/,Universite_du_Quebec_en_Outaouais.png
Canada,Universite du Quebec a Chicoutimi,https://www.uqac.ca/,Universite_du_Quebec_à_Chicoutimi.png
Canada,Universite du Quebec a Montreal,https://www.uqam.ca/,Universite_du_Quebec_a_Montreal.png
Canada,Universite du Quebec a Rimouski,https://www.uqar.ca/,Universite_du_Quebec_a_Rimouski.png
Canada,Universite du Quebec a Trois-Rivieres,https://www.uqtr.ca/,Universite_du_Quebec_a_Trois_Rivieres.png
Canada,Universite TELUQ,https://www.teluq.ca/,Universite_TELUQ.jpg
Canada,Universite Laval,https://www.ulaval.ca/,Universite_Laval.png
Canada,University of Regina,https://www.uregina.ca/,University_of_Regina.png
Canada,University of Saskatchewan,https://www.usask.ca/,University_of_Saskatchewan.png
Canada,Yukon University,https://www.yukonu.ca/,Yukon_University.png
Canada,Ambrose University,https://ambrose.edu/,Ambrose_University.png
Canada,Booth University College,https://www.boothuc.ca/,Booth_University_College.png
Canada,Burman University,https://www.burmanu.ca/,Burman_University.png
Canada,Canadian Mennonite University,https://www.cmu.ca/,Canadian_Mennonite_University.png
Canada,Concordia University of Edmonton,https://concordia.ab.ca/,Concordia_University_of_Edmonton.png
Canada,Crandall University,https://www.crandallu.ca/,Crandall_University.png
Canada,Kingswood University,https://www.kingswood.edu/,Kingswood_University.png
Canada,Pacific Coast University for Workplace Health Sciences,https://www.pcu-whs.ca/,Pacific_Coast_University_for_Workplace_Health_Sciences.jpg
Canada,Providence University College and Theological Seminary,https://www.prov.ca/,Providence_University_College_and_Theological_Seminary.png
Canada,Quest University,https://www.questu.ca/,Quest_University.png
Canada,Redeemer University College,https://www.redeemer.ca/,Redeemer_University_College.png
Canada,St. Mary's University,https://www.stmu.ca/,St Mary's_University.png
Canada,St. Stephen's University,https://www.ssu.ca/,St._Stephen's_University.png
Canada,The King's University,https://www.kingsu.ca/,The_King's_University.jpg
Canada,Trinity Western University,https://www.twu.ca/,Trinity_Western_University.png
Canada,Tyndale University,https://www.tyndale.ca/,Tyndale_University.png
Canada,University Canada West,https://www.ucanwest.ca/,University_Canada_West.png
Canada,University of Fredericton,https://www.ufred.ca/,University_of_Fredericton.png
Canada,Yorkville University,https://www.yorkvilleu.ca/,Yorkville_University.png
United States,Alabama A&M University,https://www.aamu.edu/,Alabama_A&M_University.png
United States,Alabama State University,https://www.alasu.edu/,Alabama_State_University.png
United States,Athens State University,https://www.athens.edu/,Athens_State_University.png
United States,Auburn University,https://www.auburn.edu/,Auburn_University.png
United States,Auburn University at Montgomery,https://www.aum.edu/,Auburn_University_at_Montgomery.png
United States,Jacksonville State University,https://www.jsu.edu/,Jacksonville_State_University.png
United States,Troy University,https://www.troy.edu/,Troy_University.png
United States,The University of Alabama,https://www.ua.edu/,The_University_of_Alabama.png
United States,The University of Alabama at Birmingham,https://www.uab.edu/,University_of_Alabama_at_Birmingham.png
United States,The University of Alabama in Huntsville,https://www.uah.edu/,The_University_of_Alabama_in_Huntsville.png
United States,University of Montevallo,https://www.montevallo.edu/,University_of_Montevallo.png
United States,University of North Alabama ,https://www.una.edu/,University_of_North_Alabama .png
United States,University of South Alabama,https://www.southalabama.edu/,University_of_South_Alabama.png
United States,University of West Alabama,https://www.uwa.edu/,University_of_West_Alabama.png
United States,University of Alaska Fairbanks,https://www.uaf.edu/,University_of_Alaska_Fairbanks.png
United States,University of Alaska Anchorage,https://www.uaa.alaska.edu/,University_of_Alaska_Anchorage.png
United States,University of Alaska Southeast,https://www.uas.alaska.edu/,University_of_Alaska_Southeast.png
United States,Arizona State University,https://www.asu.edu/,Arizona_State_University.png
United States,Northern Arizona University,https://nau.edu/,Northern_Arizona_University.png
United States,University of Arizona,https://www.arizona.edu/,University of_Arizona.png
United States,University of Arkansas,https://www.uark.edu/,University_of_Arkansas.png
United States,University of Arkansas at Little Rock,https://ualr.edu/,University_of_Arkansas_at_Little_Rock.png
United States,University of Arkansas for Medical Sciences,https://uamshealth.com/,University_of_Arkansas_for_Medical_Sciences.png
United States,University of Arkansas at Monticello,https://www.uamont.edu/,University_of_Arkansas_at_Monticello.png
United States,University of Arkansas at Pine Bluff,https://www.uapb.edu/,University_of_Arkansas_at_Pine_Bluff.png
United States,Arkansas State University,https://www.astate.edu/,Arkansas_State_University.png
United States,Henderson State University,https://www.hsu.edu/,Henderson_State_University.png
United States,Arkansas Tech University,https://www.atu.edu/,Arkansas_Tech_University.png
United States,University of Central Arkansas,https://uca.edu/,University_of_Central_Arkansas.png
United States,Southern Arkansas University,https://web.saumag.edu/,Southern_Arkansas_University.png
United States,"University of California, Berkeley",https://www.berkeley.edu/,University_of_California_Berkeley.png
United States,"University of California, Davis",https://www.ucdavis.edu/,University_of_California_Davis.png
